speaker,role,election_period,meeting,sitting,agenda,word,sentence,paragraph,utterance,continuous,word_count,no_anchor
JanBartosek.1971,chair,ps2013,042,01,003,132270.0,144080.0,193690.0,207340.0,207340.0,374,33
AndrejBabis.1954,guest,ps2013,042,01,003,24020.0,26940.0,29620.0,30050.0,30050.0,71,10
JanVolny.1959,regular,ps2013,042,01,003,16040.0,17210.0,19200.0,19200.0,19200.0,35,2
VeraKovarova.1964,regular,ps2013,042,01,003,43390.0,49590.0,49590.0,56150.0,56150.0,88,7
JanHamacek.1978,chair,ps2013,042,01,003,9400.0,7890.0,9500.0,9500.0,9500.0,26,1
JanFarsky.1979,regular,ps2013,042,01,003,13080.0,16990.0,17600.0,17600.0,17600.0,33,4
JanBartosek.1971,chair,ps2013,42,1,4,36800.0,39350.0,42800.0,43150.0,43150.0,94,9
MilanChovanec.1970,regular,ps2013,42,1,4,53430.0,59450.0,63030.0,64430.00000000001,64430.00000000001,142,7
MiloslavJanulik.1962,regular,ps2013,42,1,4,79390.0,105070.0,108150.0,117020.0,117020.0,243,48
JanBartosek.1971,chair,ps2013,42,1,2,4470.0,3970.0,4840.0,4840.0,4840.0,13,1
