election_period,meeting,sitting,agenda,filename
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030411581212.txt
ps2013,42,8,0,samples/sample_audio_statistics_output/2016/03/11/2016031109080922.txt
ps2017,2,2,30,samples/sample_audio_statistics_output/2017/11/30/2017113009280942.txt
ps2013,42,2,124,samples/sample_audio_statistics_output/2016/03/02/2016030217581812.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030217081722.txt
ps2013,42,10,53,samples/sample_audio_statistics_output/2016/03/23/2016032313481402.txt
ps2013,42,7,213,samples/sample_audio_statistics_output/2016/03/10/2016031011281142.txt
ps2013,42,6,164,samples/sample_audio_statistics_output/2016/03/09/2016030909180932.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031112181232.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030913281342.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030208580912.txt
ps2013,42,2,151,samples/sample_audio_statistics_output/2016/03/02/2016030210381052.txt
ps2013,42,10,172,samples/sample_audio_statistics_output/2016/03/23/2016032312081222.txt
ps2013,42,4,0,samples/sample_audio_statistics_output/2016/03/04/2016030408580912.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030814581512.txt
ps2017,2,1,1,samples/sample_audio_statistics_output/2017/11/28/2017112814481502.txt
ps2017,2,2,32,samples/sample_audio_statistics_output/2017/11/30/2017113009380952.txt
ps2013,42,1,1,samples/sample_audio_statistics_output/2016/03/01/2016030115181532.txt
ps2013,42,3,140,samples/sample_audio_statistics_output/2016/03/03/2016030310581112.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030912381252.txt
ps2017,2,1,5,samples/sample_audio_statistics_output/2017/11/28/2017112817181732.txt
ps2017,2,2,0,samples/sample_audio_statistics_output/2017/11/30/2017113008580912.txt
ps2013,42,7,213,samples/sample_audio_statistics_output/2016/03/10/2016031012181232.txt
ps2013,42,2,159,samples/sample_audio_statistics_output/2016/03/02/2016030211281142.txt
ps2013,42,10,154,samples/sample_audio_statistics_output/2016/03/23/2016032310581112.txt
ps2013,42,10,172,samples/sample_audio_statistics_output/2016/03/23/2016032311481202.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030816381652.txt
ps2013,42,2,152,samples/sample_audio_statistics_output/2016/03/02/2016030211581212.txt
ps2017,2,1,2,samples/sample_audio_statistics_output/2017/11/28/2017112816581712.txt
ps2013,42,10,173,samples/sample_audio_statistics_output/2016/03/23/2016032312481302.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031109481002.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031112481302.txt
ps2013,42,6,38,samples/sample_audio_statistics_output/2016/03/09/2016030917381752.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032217481802.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030814381452.txt
ps2013,42,10,173,samples/sample_audio_statistics_output/2016/03/23/2016032313081322.txt
ps2013,42,3,141,samples/sample_audio_statistics_output/2016/03/03/2016030311081122.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030911581212.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030317481802.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030816181632.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032216281642.txt
ps2013,42,2,161,samples/sample_audio_statistics_output/2016/03/02/2016030211481202.txt
ps2017,2,1,16,samples/sample_audio_statistics_output/2017/11/28/2017112819181932.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030911381152.txt
ps2013,42,7,210,samples/sample_audio_statistics_output/2016/03/10/2016031010581112.txt
ps2013,42,5,9,samples/sample_audio_statistics_output/2016/03/08/2016030815381552.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030314381452.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031113281342.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031015281542.txt
ps2013,42,2,151,samples/sample_audio_statistics_output/2016/03/02/2016030211281142.txt
ps2017,2,1,9,samples/sample_audio_statistics_output/2017/11/28/2017112818281842.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030215281542.txt
ps2013,42,1,8,samples/sample_audio_statistics_output/2016/03/01/2016030117481802.txt
ps2013,42,9,17,samples/sample_audio_statistics_output/2016/03/22/2016032214481502.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030815581612.txt
ps2013,42,10,172,samples/sample_audio_statistics_output/2016/03/23/2016032311281142.txt
ps2013,42,6,155,samples/sample_audio_statistics_output/2016/03/09/2016030910281042.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030412581312.txt
ps2013,42,10,153,samples/sample_audio_statistics_output/2016/03/23/2016032310381052.txt
ps2013,42,1,1,samples/sample_audio_statistics_output/2016/03/01/2016030115081522.txt
ps2013,42,6,43,samples/sample_audio_statistics_output/2016/03/09/2016030918381852.txt
ps2017,2,1,10,samples/sample_audio_statistics_output/2017/11/28/2017112818281842.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031014281442.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030209581012.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030817081722.txt
ps2013,42,3,223,samples/sample_audio_statistics_output/2016/03/03/2016030309080922.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030209080922.txt
ps2013,42,7,132,samples/sample_audio_statistics_output/2016/03/10/2016031009280942.txt
ps2013,42,2,124,samples/sample_audio_statistics_output/2016/03/02/2016030218381852.txt
ps2017,2,1,7,samples/sample_audio_statistics_output/2017/11/28/2017112817481802.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030315081522.txt
ps2017,2,1,990,samples/sample_audio_statistics_output/2017/11/28/2017112814081422.txt
ps2013,42,7,142,samples/sample_audio_statistics_output/2016/03/10/2016031008580912.txt
ps2013,42,1,7,samples/sample_audio_statistics_output/2016/03/01/2016030116381652.txt
ps2013,42,3,223,samples/sample_audio_statistics_output/2016/03/03/2016030309180932.txt
ps2013,42,6,41,samples/sample_audio_statistics_output/2016/03/09/2016030917581812.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030911081122.txt
ps2013,42,6,158,samples/sample_audio_statistics_output/2016/03/09/2016030910081022.txt
ps2013,42,7,213,samples/sample_audio_statistics_output/2016/03/10/2016031011381152.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030411081122.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030316081622.txt
ps2013,42,1,4,samples/sample_audio_statistics_output/2016/03/01/2016030115381552.txt
ps2013,42,7,135,samples/sample_audio_statistics_output/2016/03/10/2016031009481002.txt
ps2017,2,1,7,samples/sample_audio_statistics_output/2017/11/28/2017112817381752.txt
ps2013,42,1,0,samples/sample_audio_statistics_output/2016/03/01/2016030114181432.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030913081322.txt
ps2017,2,1,16,samples/sample_audio_statistics_output/2017/11/28/2017112819281942.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032218481902.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031016081622.txt
ps2013,42,1,0,samples/sample_audio_statistics_output/2016/03/01/2016030114081422.txt
ps2013,42,2,0,samples/sample_audio_statistics_output/2016/03/02/2016030208580912.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030815081522.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030411181132.txt
ps2013,42,7,215,samples/sample_audio_statistics_output/2016/03/10/2016031012481302.txt
ps2013,42,10,52,samples/sample_audio_statistics_output/2016/03/23/2016032313381352.txt
ps2013,42,7,212,samples/sample_audio_statistics_output/2016/03/10/2016031011081122.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030216481702.txt
ps2013,42,2,62,samples/sample_audio_statistics_output/2016/03/02/2016030217281742.txt
ps2013,42,3,217,samples/sample_audio_statistics_output/2016/03/03/2016030311181132.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030910481102.txt
ps2013,42,7,212,samples/sample_audio_statistics_output/2016/03/10/2016031011181132.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032216081622.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030215381552.txt
ps2017,2,1,9,samples/sample_audio_statistics_output/2017/11/28/2017112818181832.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030317081722.txt
ps2017,2,1,5,samples/sample_audio_statistics_output/2017/11/28/2017112817081722.txt
ps2013,42,10,153,samples/sample_audio_statistics_output/2016/03/23/2016032309380952.txt
ps2013,42,1,2,samples/sample_audio_statistics_output/2016/03/01/2016030115281542.txt
ps2013,42,2,124,samples/sample_audio_statistics_output/2016/03/02/2016030218481902.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030814181432.txt
ps2013,42,3,141,samples/sample_audio_statistics_output/2016/03/03/2016030311181132.txt
ps2017,2,1,11,samples/sample_audio_statistics_output/2017/11/28/2017112818381852.txt
ps2013,42,3,77,samples/sample_audio_statistics_output/2016/03/03/2016030311581212.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030818381852.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031112281242.txt
ps2013,42,2,165,samples/sample_audio_statistics_output/2016/03/02/2016030212281242.txt
ps2013,42,1,7,samples/sample_audio_statistics_output/2016/03/01/2016030117281742.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030215381552.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030913381352.txt
ps2013,42,3,223,samples/sample_audio_statistics_output/2016/03/03/2016030308580912.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030817281742.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030216181632.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030209180932.txt
ps2013,42,7,138,samples/sample_audio_statistics_output/2016/03/10/2016031009581012.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030413181332.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030210181032.txt
ps2013,42,2,165,samples/sample_audio_statistics_output/2016/03/02/2016030212181232.txt
ps2017,2,1,15,samples/sample_audio_statistics_output/2017/11/28/2017112819081922.txt
ps2013,42,6,37,samples/sample_audio_statistics_output/2016/03/09/2016030917081722.txt
ps2013,42,10,154,samples/sample_audio_statistics_output/2016/03/23/2016032311081122.txt
ps2013,42,9,17,samples/sample_audio_statistics_output/2016/03/22/2016032215081522.txt
ps2017,2,2,33,samples/sample_audio_statistics_output/2017/11/30/2017113010581112.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030912481302.txt
ps2013,42,6,51,samples/sample_audio_statistics_output/2016/03/09/2016030915381552.txt
ps2013,42,8,166,samples/sample_audio_statistics_output/2016/03/11/2016031109280942.txt
ps2013,42,7,143,samples/sample_audio_statistics_output/2016/03/10/2016031009080922.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032217081722.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031016281642.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030217181732.txt
ps2013,42,6,38,samples/sample_audio_statistics_output/2016/03/09/2016030917281742.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030410181032.txt
ps2013,42,7,214,samples/sample_audio_statistics_output/2016/03/10/2016031012381252.txt
ps2013,42,2,157,samples/sample_audio_statistics_output/2016/03/02/2016030212581312.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031110081022.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032216381652.txt
ps2013,42,10,0,samples/sample_audio_statistics_output/2016/03/23/2016032309180932.txt
