id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-03-007-144.u1.p1.s1.w1	144	114310.0	115330.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w1	Vládní	116050.0	116340.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w2	návrh	116350.0	116810.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w4	kterým	116820.0	117060.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w5	se	117070.0	117300.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w6	předkládá	117310.0	117760.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w7	Parlamentu	117770.0	118140.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w8	České	118150.0	118430.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w9	republiky	118440.0	119070.0	2016-03-03T12:18:00	ps2013-042-03-007-144.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/03/2016030312181232.mp3	2013ps/audio/2016/03/03/2016030312181232.mp3	JanHamacek.1978	chair
ps2013-042-03-007-144.u1.p1.s2.w10	k							JanHamacek.1978	chair
