id	surname	forename	sex	birth	picture	
AdamKalous.1979	Kalous	Adam	M	1979-10-06	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6497.jpg
AdamRykala.1986	Rykala	Adam	M	1986-09-03	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5960.jpg
AdamVojtech.1986	Vojtěch	Adam	M	1986-10-02	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6491.jpg
AdelaSipova	Šípová	Adéla	F		
AdolfBeznoska.1961	Beznoska	Adolf	M	1961-12-25	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6181.jpg
AlenaDernerova	Dernerová	Alena	F		
AlenaGajduskova.1954	Gajdůšková	Alena	F	1954-04-15	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5703.jpg
AlenaNohavova.1960	Nohavová	Alena	F	1960-04-07	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6223.jpg
AlenaSchillerova.1964	Schillerová	Alena	F	1964-03-01	
AlenaSromova	Šromová	Alena	F		
AlesJuchelka.1976	Juchelka	Aleš	M	1976-04-18	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6463.jpg
AlexanderCerny.1953	Černý	Alexander	M	1953-05-21	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5307.jpg
AndreaBabisova.1972	Babišová	Andrea	F	1972-04-17	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6428.jpg
AndreaBrzobohata.1971	Brzobohatá	Andrea	F	1971-06-09	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6434.jpg
AndrejBabis.1954	Babiš	Andrej	M	1954-09-02	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6150.jpg
AndrejDanko	Danko	Andrej			
AnnaHubackova	Hubáčková	Anna	F		
AnnaPutnova.1960	Putnová	Anna	F	1960-07-24	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5957.jpg
AnnaSabatova.1951	Šabatová	Anna	F	1951-06-23	
AntoninPrachar.1962	Prachař	Antonín	M	1962-12-14	
