speaker,word,sentence,paragraph,utterance
ZuzkaBebarovaRujbrova.1951,200490.0,225070.0,241710.0,244150.0
MarekCernoch.1969,1555840.0,1760930.0,1951280.0,2018290.0
PavelPlzak.1960,69390.0,76600.0,84020.0,84520.0
ZbynekStanjura.1964,6213700.0,7296810.0,8364440.0,8545310.0
KarelFiedler.1961,999150.0,1158030.0,1249640.0,1269410.0
PetrFiala.1964,1840720.0,2080810.0,2196950.0,2231170.0
KaterinaValachova.1976,1942490.0,2340320.0,2490430.0,2543810.0
JanZahradnik.1949,1792760.0,2698040.0,2920360.0,3068730.0
RichardBrabec.1966,2796570.0,3564000.0,3814240.0,3913070.0
PetrBendl.1966,4611750.0,6678540.0,7097660.0,7377580.0
RomanVana.1966,19590.0,20230.0,21910.0,21910.0
OndrejBenesik.1976,136670.0,144800.0,164680.0,167430.0
JanaHnykova.1963,1470790.0,1593110.0,1738000.0,1775400.0
MartaSemelova.1960,1127060.0,1412020.0,1514070.0,1538920.0
StanislavMackovik.1967,107600.0,125730.0,133850.0,134980.0
JiriValenta.1965,165270.0,173450.0,190640.0,194540.0
DanTok.1959,1446360.0,1738540.0,1864820.0,1903540.0
MarketaPekarovaAdamova.1984,314220.0,336710.0,367230.0,373760.0
KarlaSlechtova.1977,1369830.0,1475620.0,1583060.0,1614240.0
AntoninSeda.1960,387100.0,422690.0,476000.0,479840.0
BohuslavChalupa.1960,231420.0,245480.0,271350.0,272300.0
DanielHerman.1963,948970.0,1008800.0,1083270.0,1108980.0
MiroslavaNemcova.1952,887310.0,978960.0,1033690.0,1055550.0
IvanGabal.1951,231810.0,271920.0,315980.0,325840.0
VeraKovarova.1964,1242680.0,1397400.0,1563660.0,1607240.0
SimeonKaramazov.1963,1041140.0,1091500.0,1219220.0,1252990.0
MartinNovotny.1972,468730.0,560630.0,590340.0,595930.0
AdolfBeznoska.1961,595380.0,686310.0,741510.0,759360.0
LudvikHovorka.1963,2370120.0,2925660.0,3123360.0,3241190.0
JiriMihola.1972,2298070.0,2740010.0,2957190.0,3156960.0
