id	type	name_cs	name_en	name_short	to	from	
AdamKalous.1979	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
AdamKalous.1979	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
AdamRykala.1986	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-10-29T00:00:00	2017-10-26T23:00:00
AdamRykala.1986	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2013-10-26	2017-10-26
AdamRykala.1986	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2010-06-04T00:00:00	2013-08-28T00:00:00
AdamRykala.1986	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2010-05-29	2013-08-28
AdamVojtech.1986	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
AdamVojtech.1986	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
AdolfBeznoska.1961	politicalGroup	Poslanecký klub Občanské demokratické strany	Political Group of the Civic Democratic Party	ODS	2013-10-30T00:00:00	2017-03-14T09:00:00
AdolfBeznoska.1961	politicalParty	Občanská demokratická strana	Civic Democratic Party	ODS	2013-10-26	2017-10-26
AlenaGajduskova.1954	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2017-10-27T00:00:00	
AlenaGajduskova.1954	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2017-10-21	
AlenaNohavova.1960	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2013-10-27T00:00:00	2017-10-26T23:00:00
AlenaNohavova.1960	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2013-10-26	2017-10-26
AlesJuchelka.1976	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
AlesJuchelka.1976	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2017-10-24T00:00:00	
AlexanderCerny.1953	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2017-10-21	
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2013-10-27T00:00:00	2017-10-26T23:00:00
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2013-10-27T00:00:00	2017-10-26T23:00:00
AlexanderCerny.1953	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2013-10-26	2017-10-26
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2010-06-02T00:00:00	2013-08-28T00:00:00
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2010-06-02T00:00:00	2013-08-28T00:00:00
AlexanderCerny.1953	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2010-05-29	2013-08-28
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political Group of the Communist Party of Bohemia and Moravia	KSČM	2006-06-08T00:00:00	2010-06-03T14:00:00
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political Group of the Communist Party of Bohemia and Moravia	KSČM	2006-06-08T00:00:00	2010-06-03T14:00:00
AlexanderCerny.1953	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2006-06-03	2010-06-03
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2002-09-17T00:00:00	2006-06-15T13:00:00
AlexanderCerny.1953	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2002-06-19T00:00:00	2006-06-15T13:00:00
AlexanderCerny.1953	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2002-06-15	2006-06-15
AndreaBabisova.1972	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
AndreaBabisova.1972	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
AndreaBrzobohata.1971	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
AndreaBrzobohata.1971	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
AndrejBabis.1954	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
AndrejBabis.1954	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
AndrejBabis.1954	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2017-10-26T23:00:00
AndrejBabis.1954	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
AnnaPutnova.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2015-12-08T00:00:00	2017-10-26T23:00:00
AnnaPutnova.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
AnnaPutnova.1960	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
AnnaPutnova.1960	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2010-06-10T00:00:00	2013-08-28T00:00:00
AnnaPutnova.1960	politicalParty	TOP 09	TOP 09	TOP09	2010-05-29	2013-08-28
AntoninSeda.1960	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-11-26T00:00:00	2017-10-26T23:00:00
AntoninSeda.1960	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-10-29T00:00:00	2017-10-26T23:00:00
AntoninSeda.1960	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2013-10-26	2017-10-26
AntoninSeda.1960	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2010-06-04T00:00:00	2013-08-28T00:00:00
AntoninSeda.1960	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2010-05-29	2013-08-28
AntoninSeda.1960	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political Group of the Czech Social Democratic Party	ČSSD	2006-06-05T00:00:00	2010-06-03T14:00:00
AntoninSeda.1960	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2006-06-03	2010-06-03
AntoninSeda.1960	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2002-06-21T00:00:00	2006-06-15T13:00:00
AntoninSeda.1960	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2002-06-15	2006-06-15
AntoninStanek.1966	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2017-10-27T00:00:00	
AntoninStanek.1966	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2017-10-21	
AugustinKarelAndrleSylor.1946	politicalGroup	Poslanecký klub Úsvit - Národní Koalice	Political group of Usvit - Narodni Koalice	Úsvit	2013-11-05T00:00:00	2017-10-26T23:00:00
AugustinKarelAndrleSylor.1946	politicalParty	Úsvit přímé demokracie Tomia Okamury	Rise of Direct Democracy of Tomio Okamura	Usvit	2013-10-26	2017-10-26
BarboraJelonkova.1972	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2017-07-01T00:00:00	2017-10-26T23:00:00
BarboraJelonkova.1972	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2013-10-26	2017-10-26
BarboraKoranova.1984	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
BarboraKoranova.1984	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
BohuslavChalupa.1960	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2017-10-26T23:00:00
BohuslavChalupa.1960	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2017-10-27T00:00:00	2018-03-31T00:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2017-10-21	
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-10-29T00:00:00	2017-10-26T23:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2013-10-26	2017-10-26
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2010-06-04T00:00:00	2011-12-06T00:00:00
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2010-06-04T00:00:00	2013-08-28T00:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2010-05-29	2013-08-28
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political Group of the Czech Social Democratic Party	ČSSD	2009-01-01T00:00:00	2010-06-03T14:00:00
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political Group of the Czech Social Democratic Party	ČSSD	2006-06-05T00:00:00	2010-06-03T14:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2006-06-03	2010-06-03
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2002-06-21T00:00:00	2002-07-18T00:00:00
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2002-06-21T00:00:00	2006-06-15T13:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2002-06-15	2006-06-15
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2001-05-22T00:00:00	2002-06-20T00:00:00
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2000-04-18T13:00:00	2001-05-22T00:00:00
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	1998-09-29T00:00:00	2000-04-18T12:00:00
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	1998-06-24T00:00:00	2002-06-20T00:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	1998-06-20	2002-06-20
BohuslavSobotka.1971	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	1996-06-12T00:00:00	1998-06-19T00:00:00
BohuslavSobotka.1971	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	1996-06-01	1998-06-19
BohuslavSvoboda.1944	politicalGroup	Poslanecký klub Občanské demokratické strany	Political group Civic Democratic Party	ODS	2017-10-24T00:00:00	
BohuslavSvoboda.1944	politicalParty	Občanská demokratická strana	Civic Democratic Party	ODS	2017-10-21	
BohuslavSvoboda.1944	politicalGroup	Poslanecký klub Občanské demokratické strany	Political Group of the Civic Democratic Party	ODS	2013-10-30T00:00:00	2017-10-26T23:00:00
BohuslavSvoboda.1944	politicalParty	Občanská demokratická strana	Civic Democratic Party	ODS	2013-10-26	2017-10-26
BronislavSchwarz.1966	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2014-10-01T00:00:00	2017-10-26T23:00:00
BronislavSchwarz.1966	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2017-10-26T23:00:00
BronislavSchwarz.1966	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
DanTok.1959	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	2019-04-15T00:00:00
DanTok.1959	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
DanaBalcarova.1960	politicalGroup	Poslanecký klub České pirátské strany	Political group Czech Pirate Party	Piráti	2017-10-30T00:00:00	2018-02-28T00:00:00
DanaBalcarova.1960	politicalGroup	Poslanecký klub České pirátské strany	Political group Czech Pirate Party	Piráti	2017-10-22T00:00:00	
DanaBalcarova.1960	politicalParty	Česká pirátská strana	Czech Pirate Party	Piráti	2017-10-21	
DanaVahalova.1966	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-11-26T00:00:00	2017-10-26T23:00:00
DanaVahalova.1966	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-10-29T00:00:00	2017-10-26T23:00:00
DanaVahalova.1966	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2013-10-26	2017-10-26
DanaVahalova.1966	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2010-06-04T00:00:00	2013-08-28T00:00:00
DanaVahalova.1966	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2010-05-29	2013-08-28
DanielHerman.1963	politicalGroup	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	KDU-ČSL	2013-10-31T00:00:00	2017-10-26T23:00:00
DanielHerman.1963	politicalParty	Křesťanská a demokratická unie - Československá strana lidová	Christian Democratic Union - Czechoslovak People's Party	KDU-ČSL	2013-10-26	2017-10-26
DanielKorte.1953	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
DanielKorte.1953	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
DanielKorte.1953	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2010-06-10T00:00:00	2013-08-28T00:00:00
DanielKorte.1953	politicalParty	TOP 09	TOP 09	TOP09	2010-05-29	2013-08-28
DanielPawlas.1975	politicalGroup	Poslanecký klub Komunistické strany Čech a Moravy	Political group Communist Party of Bohemia and Moravia	KSČM	2017-10-24T00:00:00	
DanielPawlas.1975	politicalParty	Komunistická strana Čech a Moravy	Communist Party of Bohemia and Moravia	KSCM	2017-10-21	
DavidKadner.1976	politicalGroup	Poslanecký klub Úsvit - Národní Koalice	Political group of Usvit - Narodni Koalice	Úsvit	2013-11-05T00:00:00	2017-10-26T23:00:00
DavidKadner.1976	politicalParty	Úsvit přímé demokracie Tomia Okamury	Rise of Direct Democracy of Tomio Okamura	Usvit	2013-10-26	2017-10-26
DavidKadner.1976	politicalGroup	Poslanecký klub Věci veřejné	Political group Public Affairs Party	VV	2010-05-31T00:00:00	2013-08-28T00:00:00
DavidKadner.1976	politicalParty	Věci veřejné	Public Matters	VV	2010-05-29	2013-08-28
DavidKasal.1969	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
DavidKasal.1969	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
DavidKasal.1969	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2017-10-26T23:00:00
DavidKasal.1969	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
DavidPrazak.1979	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
DavidPrazak.1979	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
DavidStolpa.1983	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
DavidStolpa.1983	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
DominikFeri.1996	politicalGroup	Poslanecký klub TOP 09	Political group TOP 09	TOP09	2021-01-19T00:00:00	
DominikFeri.1996	politicalGroup	Poslanecký klub TOP 09	Political group TOP 09	TOP09	2017-10-31T00:00:00	
