id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2017-002-01-005-004.u1.p1.s1.w1	4	496030.0	496650.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w1	Návrh	498530.0	499020.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w2	zasedacího	499030.0	499650.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w3	pořádku	499660.0	500110.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w4	poslanců	500120.0	500590.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w5	v							VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w6	jednacím	500600.0	501100.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w7	sále	501110.0	501490.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w8	Poslanecké	501500.0	502060.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
ps2017-002-01-005-004.u1.p1.s2.w9	sněmovny	502070.0	502730.0	2017-11-28T16:58:00	ps2017-002-01-005-004.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112816581712.mp3	2017ps/audio/2017/11/28/2017112816581712.mp3	VojtechFilip.1955	chair
